video_id,title,publishedAt,views,likes,comments,like_ratio,publish_hour,publish_day
_uQrJ0TkZlc,Python Full Course for Beginners,2019-02-18 15:00:08+00:00,45767651,1214536,60834,0.026536996622352326,15,Monday
kqtD5dpn9C8,Python for Beginners - Learn Coding with Python in 1 Hour,2020-09-16 13:00:20+00:00,22713698,523373,26065,0.02304217481451061,13,Wednesday
b093aqAZiPU,👩‍💻 Python for Beginners Tutorial,2021-03-25 10:00:08+00:00,3954872,86543,2953,0.02188262982973912,10,Thursday
K5KVEU3aaeQ,Python Full Course for Beginners [2025],2025-02-12 12:30:31+00:00,3237178,81521,2199,0.025182736321573914,12,Wednesday
Z1Yd7upQsXY,Python Tutorial for Absolute Beginners #1 - What Are Variables?,2017-12-26 14:57:53+00:00,9328360,202974,8570,0.021758808622308744,14,Tuesday
rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial],2018-07-11 18:00:42+00:00,47667913,1102652,45747,0.023131954612739182,18,Wednesday
t8pPdKYpowI,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],2021-03-05 14:10:17+00:00,6502904,166015,3984,0.025529363496677792,14,Friday
mB0EBW-vDSQ,Do THIS instead of watching endless tutorials - how I’d learn Python FAST…,2025-05-16 15:43:06+00:00,320287,14555,322,0.04544361775532569,15,Friday
fa6mz2Sbjo4,What is String in Python🐍? 🤔 | Python Tutorial #shorts#coding #hindi #python,2025-09-17 14:31:58+00:00,67,2,1,0.029850746268656716,14,Wednesday
fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast & Easy),2021-05-26 12:32:40+00:00,983071,22987,581,0.02338284823781802,12,Wednesday
hEgO047GxaQ,#1 Python Tutorial for Beginners | Introduction to Python,2018-06-30 13:30:28+00:00,5797307,81704,1337,0.014093440281841207,13,Saturday
qwAFL1597eM,Python Tutorial for Beginners (with mini-projects),2023-09-19 14:33:56+00:00,939226,19962,605,0.021253670575559023,14,Tuesday
Ro_MScTDfU4,Learn Python in Only 30 Minutes (Beginner Tutorial),2024-11-18 14:00:24+00:00,206723,6979,156,0.033760152474567415,14,Monday
mRMmlo_Uqcs,you need to learn Python RIGHT NOW!! // EP 1,2021-08-14 17:22:45+00:00,2747384,110753,5156,0.040312166045954986,17,Saturday
nluUYtejoIE,Python Basics: Your FIRST Program in Under a Minute! 🚀,2024-06-21 07:55:33+00:00,533998,8227,82,0.015406424743163833,7,Friday
qEwnlMBaLfc,Python in Excel - Beginner Tutorial,2023-09-21 07:00:21+00:00,449190,6199,194,0.013800396268839466,7,Thursday
Gx5qb1uHss4,10 Important Python Concepts In 20 Minutes,2024-08-07 09:05:05+00:00,964797,29553,311,0.030631314152096245,9,Wednesday
eWRfhZUzrAc,Python for Beginners – Full Course [Programming Tutorial],2022-08-09 12:54:23+00:00,3753580,72016,1507,0.019185950479275786,12,Tuesday
St48epdRDZw,How I Would Learn Python FAST (if I could start over),2024-06-19 15:04:05+00:00,1365245,48817,936,0.03575695204889965,15,Wednesday
80yIVH2aOy0,python programming|python for beginners|python full course,2025-06-06 00:51:25+00:00,286908,5686,51,0.019818199562229008,0,Friday
q2-pnQffZik,Learn Python for FREE in 2025,2024-12-31 02:30:33+00:00,567128,15771,123,0.027808537049837073,2,Tuesday
QXeEoD0pB3E,#0 Python for Beginners | Programming Tutorial,2018-08-16 08:58:58+00:00,8869930,94524,1187,0.010656679365000626,8,Thursday
GfWRxr1OBm4,Python Basics: The Best Way to Learn Python Programming (2024),2024-12-29 01:57:30+00:00,950731,14050,124,0.014778102323370122,1,Sunday
H2EJuAcrZYU,Python Full Course for Beginners | Complete All-in-One Tutorial | 9 Hours,2023-07-25 13:00:21+00:00,936607,20256,608,0.02162700043881799,13,Tuesday
ix9cRaBkVe0,Python Full Course for free 🐍 (2024),2024-08-20 13:00:54+00:00,6316473,210370,12499,0.03330497890199167,13,Tuesday
Sg4GMVMdOPo,Start coding with PYTHON in 5 minutes! 🐍,2024-08-16 16:08:32+00:00,434756,12552,528,0.028871366927655972,16,Friday
W-8j4MrsX2s,Amazing Flower Design using Python turtle 🐢 #python #coding #funny #viral #trending #design,2023-05-24 13:15:02+00:00,1185031,50813,342,0.042879047046026644,13,Wednesday
IR2D0rrF2ow,Python in Excel‼️ #excel #python,2023-10-27 13:00:14+00:00,402876,9185,34,0.022798578222579653,13,Friday
WCM65ION4nE,Python Syllabus | Python for Beginners | Complete Python Course #pythonlearning,2024-01-25 09:38:59+00:00,526590,5941,12,0.011282022066503352,9,Thursday
fXxUYb0s-pc,Impress your crush using Python Code ❤️,2022-04-07 05:03:39+00:00,1310152,23922,316,0.018258950106552523,5,Thursday
iju6xKZacGQ,I Create Excel file in 5sec using Python || python excel || python pandas || python to excel #python,2024-03-26 16:00:35+00:00,828697,11192,67,0.013505539419112172,16,Tuesday
mErBlm0yzZA,Do THIS Instead of Watching Endless Tutorials - How I'd Learn Python FAST (2025),2025-07-12 05:30:24+00:00,34931,1573,48,0.04503163379233346,5,Saturday
Sl4zqWLC9Xw,Fastest way to learn Python #coding #python #programming,2023-08-30 13:00:21+00:00,2106986,196936,362,0.09346811037187717,13,Wednesday
6i3e-j3wSf0,Python Tutorial for Beginners with VS Code 🐍,2023-02-14 14:00:03+00:00,546443,10995,335,0.020121037326857515,14,Tuesday
VchuKL44s6E,Python As Fast as Possible - Learn Python in ~75 Minutes,2020-10-04 15:00:06+00:00,2077252,59510,1454,0.02864842590114247,15,Sunday
ZDa-Z5JzLYM,Python OOP Tutorial 1: Classes and Instances,2016-06-20 17:00:03+00:00,4787832,122125,3869,0.025507369515053994,17,Monday
IfKlGhRc7Dc,"Python Roadmap for Beginners! 🐍 Learn Python Programming Step-by-Step"" #python #conding",2024-06-16 06:40:42+00:00,1498537,23831,72,0.015902843907090715,6,Sunday
tJ39Bf4OvrI,Python code in hindi for beginners|apna college|python tutorial for beginners.,2025-01-05 03:07:15+00:00,519520,11163,77,0.02148714197720973,3,Sunday
P5An-rTtM_k,Amazing Rotating Python Graphics Design using Turtle 🐢 #python #pythonshorts #coding #viral #design,2023-05-14 12:15:01+00:00,1739827,64658,473,0.037163465103139566,12,Sunday
dZ8VrmzYL2A,Pygame - Display Image in Pygame python || Pygame python tutorial #python #pygame,2023-07-13 10:43:16+00:00,505271,6938,52,0.013731245212964923,10,Thursday
9Os0o3wzS_I,Python Tutorial for Beginners 8: Functions,2017-05-17 19:00:01+00:00,1249452,24829,830,0.019871911846153355,19,Wednesday
Ix5cKThAa3E,Python Coding Basics: Get Started with VSCode,2025-01-30 14:41:56+00:00,247530,4728,53,0.019100715064840627,14,Thursday
fHk-U1cyYmM,Print the given pattern in python? ( python for beginners ),2022-12-04 13:50:13+00:00,228459,3850,20,0.016852039096730706,13,Sunday
E1kDTUf6bsA,Password generator in Python!,2023-04-15 11:30:06+00:00,710343,48260,243,0.06793900974599595,11,Saturday
5B41CPvYMjY,The Ultimate Python Roadmap: From Beginner to Expert in 2025!,2023-08-11 18:10:35+00:00,769799,15509,67,0.02014681754587886,18,Friday
