video_id,title,publishedAt,views,likes,comments
kqtD5dpn9C8,Python for Beginners - Learn Coding with Python in 1 Hour,2020-09-16T13:00:20Z,22713048,523364,26064
qEwnlMBaLfc,Python in Excel - Beginner Tutorial,2023-09-21T07:00:21Z,449142,6198,194
5bR6ajce4Ys,Top 5 Python Books That Will Make You A Coding Pro,2024-09-11T13:27:26Z,73352,3315,23
BplMR0txSeA,"Python on phone, pydroid 3 #python #android #coding #programming #pydroid3",2025-02-19T11:43:05Z,242678,0,34
MqywbqLmjp4,I've Read Over 100 Books on Python. Here are the Top 3,2024-01-31T21:00:24Z,539206,19371,493
K5KVEU3aaeQ,Python Full Course for Beginners [2025],2025-02-12T12:30:31Z,3235786,81480,2197
Y8Tko2YC5hA,What is Python? Why Python is So Popular?,2018-10-23T03:06:02Z,2187174,68111,907
_uQrJ0TkZlc,Python Full Course for Beginners,2019-02-18T15:00:08Z,45766830,1214514,60834
2h8nbQ7bZWs,How to create your own ai in python@COMPUTEREXCELSOLUTION #pythonprogramming #python,2025-09-16T14:32:48Z,82,2,2
fXxUYb0s-pc,Impress your crush using Python Code ❤️,2022-04-07T05:03:39Z,1309680,23913,315
