video_id,title,publishedAt,views,likes,comments,like_ratio,publish_hour,publish_day
_uQrJ0TkZlc,Python Full Course for Beginners,2019-02-18 15:00:08+00:00,45777025,1214715,60841,0.026535472761718353,15,Monday
kqtD5dpn9C8,Python for Beginners - Learn Coding with Python in 1 Hour,2020-09-16 13:00:20+00:00,22721427,523506,26070,0.02304019021340517,13,Wednesday
b093aqAZiPU,👩‍💻 Python for Beginners Tutorial,2021-03-25 10:00:08+00:00,3957258,86577,2956,0.02187802766461019,10,Thursday
Z1Yd7upQsXY,Python Tutorial for Absolute Beginners #1 - What Are Variables?,2017-12-26 14:57:53+00:00,9329144,202984,8570,0.021758051971327703,14,Tuesday
rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial],2018-07-11 18:00:42+00:00,47673917,1102759,45753,0.023131285814001815,18,Wednesday
K5KVEU3aaeQ,Python Full Course for Beginners [2025],2025-02-12 12:30:31+00:00,3254654,81891,2204,0.02516119993092968,12,Wednesday
t8pPdKYpowI,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],2021-03-05 14:10:17+00:00,6504156,166039,3985,0.025528139238972743,14,Friday
mB0EBW-vDSQ,Do THIS instead of watching endless tutorials - how I’d learn Python FAST…,2025-05-16 15:43:06+00:00,322732,14666,323,0.045443278013955854,15,Friday
iA4g1UHgHy0,Build AI Agents From Scratch in Python (Easy Step-by-step Tutorial),2025-09-16 14:57:32+00:00,305,13,1,0.04262295081967213,14,Tuesday
hEgO047GxaQ,#1 Python Tutorial for Beginners | Introduction to Python,2018-06-30 13:30:28+00:00,5798588,81711,1337,0.014091534007934345,13,Saturday
fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast & Easy),2021-05-26 12:32:40+00:00,985229,23029,581,0.023374261212367888,12,Wednesday
qwAFL1597eM,Python Tutorial for Beginners (with mini-projects),2023-09-19 14:33:56+00:00,940105,19981,605,0.021254008860712367,14,Tuesday
Ro_MScTDfU4,Learn Python in Only 30 Minutes (Beginner Tutorial),2024-11-18 14:00:24+00:00,209080,7045,157,0.033695236273196864,14,Monday
mRMmlo_Uqcs,you need to learn Python RIGHT NOW!! // EP 1,2021-08-14 17:22:45+00:00,2748143,110769,5156,0.04030685448319101,17,Saturday
nluUYtejoIE,Python Basics: Your FIRST Program in Under a Minute! 🚀,2024-06-21 07:55:33+00:00,536247,8252,82,0.015388431077469898,7,Friday
qEwnlMBaLfc,Python in Excel - Beginner Tutorial,2023-09-21 07:00:21+00:00,449984,6199,195,0.013776045370502062,7,Thursday
Gx5qb1uHss4,10 Important Python Concepts In 20 Minutes,2024-08-07 09:05:05+00:00,967118,29631,313,0.030638453632338556,9,Wednesday
eWRfhZUzrAc,Python for Beginners – Full Course [Programming Tutorial],2022-08-09 12:54:23+00:00,3757042,72070,1508,0.0191826442185102,12,Tuesday
St48epdRDZw,How I Would Learn Python FAST (if I could start over),2024-06-19 15:04:05+00:00,1367483,48866,936,0.03573426506947436,15,Wednesday
80yIVH2aOy0,python programming|python for beginners|python full course,2025-06-06 00:51:25+00:00,291935,5781,52,0.019802353263568946,0,Friday
9Os0o3wzS_I,Python Tutorial for Beginners 8: Functions,2017-05-17 19:00:01+00:00,1249697,24829,830,0.019868016007080117,19,Wednesday
q2-pnQffZik,Learn Python for FREE in 2025,2024-12-31 02:30:33+00:00,569691,15821,123,0.027771195261992905,2,Tuesday
QXeEoD0pB3E,#0 Python for Beginners | Programming Tutorial,2018-08-16 08:58:58+00:00,8872728,94540,1187,0.01065512207744901,8,Thursday
GfWRxr1OBm4,Python Basics: The Best Way to Learn Python Programming (2024),2024-12-29 01:57:30+00:00,958359,14147,124,0.014761691599911933,1,Sunday
H2EJuAcrZYU,Python Full Course for Beginners | Complete All-in-One Tutorial | 9 Hours,2023-07-25 13:00:21+00:00,937364,20266,610,0.021620203037453968,13,Tuesday
ix9cRaBkVe0,Python Full Course for free 🐍 (2024),2024-08-20 13:00:54+00:00,6332963,210806,12514,0.033287104314362805,13,Tuesday
W-8j4MrsX2s,Amazing Flower Design using Python turtle 🐢 #python #coding #funny #viral #trending #design,2023-05-24 13:15:02+00:00,1187560,50864,342,0.042830678028899595,13,Wednesday
Sg4GMVMdOPo,Start coding with PYTHON in 5 minutes! 🐍,2024-08-16 16:08:32+00:00,436196,12591,529,0.02886546414914396,16,Friday
IR2D0rrF2ow,Python in Excel‼️ #excel #python,2023-10-27 13:00:14+00:00,404424,9208,34,0.022768183886218426,13,Friday
WCM65ION4nE,Python Syllabus | Python for Beginners | Complete Python Course #pythonlearning,2024-01-25 09:38:59+00:00,528981,5970,12,0.011285849586280037,9,Thursday
fXxUYb0s-pc,Impress your crush using Python Code ❤️,2022-04-07 05:03:39+00:00,1316646,24028,317,0.01824940037033493,5,Thursday
iju6xKZacGQ,I Create Excel file in 5sec using Python || python excel || python pandas || python to excel #python,2024-03-26 16:00:35+00:00,832367,11229,67,0.013490443518303825,16,Tuesday
Sl4zqWLC9Xw,Fastest way to learn Python #coding #python #programming,2023-08-30 13:00:21+00:00,2108533,197059,362,0.09345786857497607,13,Wednesday
VchuKL44s6E,Python As Fast as Possible - Learn Python in ~75 Minutes,2020-10-04 15:00:06+00:00,2077950,59526,1455,0.028646502562621814,15,Sunday
ZDa-Z5JzLYM,Python OOP Tutorial 1: Classes and Instances,2016-06-20 17:00:03+00:00,4788509,122137,3869,0.02550626927922658,17,Monday
IfKlGhRc7Dc,"Python Roadmap for Beginners! 🐍 Learn Python Programming Step-by-Step"" #python #conding",2024-06-16 06:40:42+00:00,1504753,23892,72,0.015877688896450116,6,Sunday
6i3e-j3wSf0,Python Tutorial for Beginners with VS Code 🐍,2023-02-14 14:00:03+00:00,547316,11010,335,0.02011634960425056,14,Tuesday
tJ39Bf4OvrI,Python code in hindi for beginners|apna college|python tutorial for beginners.,2025-01-05 03:07:15+00:00,521054,11188,77,0.0214718628011684,3,Sunday
dZ8VrmzYL2A,Pygame - Display Image in Pygame python || Pygame python tutorial #python #pygame,2023-07-13 10:43:16+00:00,508109,6978,52,0.013733273766062006,10,Thursday
P5An-rTtM_k,Amazing Rotating Python Graphics Design using Turtle 🐢 #python #pythonshorts #coding #viral #design,2023-05-14 12:15:01+00:00,1741338,64689,473,0.0371490198916006,12,Sunday
Ix5cKThAa3E,Python Coding Basics: Get Started with VSCode,2025-01-30 14:41:56+00:00,249108,4751,53,0.019072049071085635,14,Thursday
mErBlm0yzZA,Do THIS Instead of Watching Endless Tutorials - How I'd Learn Python FAST (2025),2025-07-12 05:30:24+00:00,35041,1582,48,0.04514711338146742,5,Saturday
-cXWzWdtErI,Python turtle code | Beautiful design using python pydroid 3 app | python tutorial,2022-02-13 07:19:38+00:00,335047,14939,270,0.04458777425256755,7,Sunday
fHk-U1cyYmM,Print the given pattern in python? ( python for beginners ),2022-12-04 13:50:13+00:00,229793,3871,20,0.016845595818845656,13,Sunday
E1kDTUf6bsA,Password generator in Python!,2023-04-15 11:30:06+00:00,712135,48327,243,0.06786213288210803,11,Saturday
5B41CPvYMjY,The Ultimate Python Roadmap: From Beginner to Expert in 2025!,2023-08-11 18:10:35+00:00,773313,15537,69,0.020091476543133247,18,Friday
eaMDDseIL7E,How to create graphics using Python turtle 🐍🐢 #coding,2022-08-24 16:52:44+00:00,1823418,0,495,0.0,16,Wednesday
VNOz6vEHjEY,How to learn python in mobile #viral #python #tutorial #code,2023-08-16 06:49:30+00:00,329054,6671,48,0.020273268217374657,6,Wednesday
-qiMuTAnnlU,How to Learn Python Fast in 2024? | Learn Python With ChatGPT | Intellipaat #Shorts #Python #ChatGPT,2024-10-31 12:11:45+00:00,304870,17176,25,0.056338767343457864,12,Thursday
6i3EGqOBRiU,Introduction to Python Course | Python for beginners,2022-08-25 14:53:33+00:00,1564885,18403,575,0.01175996958242938,14,Thursday
ZDa-Z5JzLYM,Python OOP Tutorial 1: Classes and Instances,2016-06-20 17:00:03+00:00,4788509,122137,3869,0.02550626927922658,17,Monday
vCcPAX4jVN8,Python code | Beautiful design usind python | Pydroid 3 App,2022-02-01 15:40:32+00:00,451573,7267,81,0.016092636185068638,15,Tuesday
